"selection1_item_names","selection1_release_date","selection1_date_of_stock","selection1_price","selection1_sales"
"BTS - DYNAMITE - LIMITED EDITION CASSETTE (February Shipping) (*Order can be canceled cause of early out of stock)","Release 2021-02-26","(Expected) Date of stock 2021-02-26","USD 7.83",""
"IZ*ONE - 1ST CONCERT IN SEOUL [EYES ON ME] (KIT VIDEO)","Release 2020-11-04","(Expected) Date of stock 2020-11-03","USD 42.23",""
"(Out Of Stock) [DVD] IU - 2019 IU Tour Concert [Love, poem] in Seoul DVD","Release 2020-10-29","(Expected) Date of stock 2020-10-28","USD 38.53","Sales 350"
"(Out Of Stock) [Blu-ray] IU - 2019 IU Tour Concert [Love, poem] in Seoul Blu-ray","Release 2020-10-29","(Expected) Date of stock 2020-10-28","USD 51.64","Sales 400"
"[DVD] IZ*ONE - 1ST CONCERT IN SEOUL [EYES ON ME] DVD","Release 2020-10-23","(Expected) Date of stock 2020-10-22","USD 36.95",""
"[DVD] IZ*ONE - 1ST CONCERT IN SEOUL [EYES ON ME] DVD _Copy","Release 2020-10-23","(Expected) Date of stock 2020-10-22","USD 36.95",""
"[Blu-Ray] IZ*ONE - 1ST CONCERT IN SEOUL [EYES ON ME] BLU-RAY","Release 2020-10-23","(Expected) Date of stock 2020-10-22","USD 48.38",""
"[Blu-Ray] BTS - WORLD TOUR [LOVE YOURSELF : SPEAK YOURSELF] LONDON BLU-RAY (*Order can be canceled cause of early out of stock)","Release 2020-10-22","(Expected) Date of stock 2020-10-29","USD 48.38",""
"BTS - Mini Album Vol. 2 [Skool Luv Affair] (Special Addition) (reissue)","Release 2020-10-14","(Expected) Date of stock 2020-10-13","USD 33.34 USD 42.75","Sales 39,400"
"[DVD] ATEEZ - ATEEZ WORLD TOUR [THE FELLOWSHIP : MAP THE TREASURE SEOUL DVD]","Release 2020-10-14","(Expected) Date of stock 2020-10-14","USD 36.95","Sales 2,445"
"BTS - Learn! KOREAN with BTS Book Package","Release 2020-10-12","(Expected) Date of stock 2020-10-12","USD 77.41",""
"[Ktown4u Event] BLACKPINK - 1st FULL ALBUM [THE ALBUM] (Ver.1)","Release 2020-10-06","(Expected) Date of stock 2020-10-06","USD 16.37 USD 21.73","Sales 30,846"
"[Ktown4u Event] BLACKPINK - 1st FULL ALBUM [THE ALBUM] (Ver.2)","Release 2020-10-06","(Expected) Date of stock 2020-10-06","USD 16.37 USD 21.73","Sales 28,263"
"[Ktown4u Event] BLACKPINK - 1st FULL ALBUM [THE ALBUM] (Ver.3)","Release 2020-10-06","(Expected) Date of stock 2020-10-06","USD 16.37 USD 21.73","Sales 45,906"
"[Ktown4u Event] BLACKPINK - 1st FULL ALBUM [THE ALBUM] (Ver.4)","Release 2020-10-06","(Expected) Date of stock 2020-10-06","USD 16.37 USD 21.73","Sales 56,523"
"NCT DREAM - [CHENLE] NCT LIFE : DREAM in Wonderland Commentary Book + Luggage Tag SET","Release 2020-10-05","(Expected) Date of stock 2020-10-05","USD 21.99","Sales 834"
"NCT DREAM - [JAEMIN] NCT LIFE : DREAM in Wonderland Commentary Book + Luggage Tag SET","Release 2020-10-05","(Expected) Date of stock 2020-10-05","USD 21.99","Sales 1,576"
"NCT DREAM - [JENO] NCT LIFE : DREAM in Wonderland Commentary Book + Luggage Tag SET","Release 2020-10-05","(Expected) Date of stock 2020-10-05","USD 21.99","Sales 1,220"
"NCT DREAM - [JISUNG] NCT LIFE : DREAM in Wonderland Commentary Book + Luggage Tag SET","Release 2020-10-05","(Expected) Date of stock 2020-10-05","USD 21.99","Sales 1,336"
"NCT DREAM - [RENJUN] NCT LIFE : DREAM in Wonderland Commentary Book + Luggage Tag SET","Release 2020-10-05","(Expected) Date of stock 2020-10-05","USD 21.99","Sales 1,052"
"H1GHR MUSIC - 1st Compilation Album [H1GHR : RED TAPE]","Release 2020-09-29","(Expected) Date of stock 2020-09-28","USD 21.64 USD 27.36","Sales 2,225"
"Super Junior D&E - Mini Album Vol.4 [Special Album]","Release 2020-09-29","(Expected) Date of stock 2020-09-28","USD 16.81 USD 20.94","Sales 21,110"
"NCT DREAM - [CHENLE] NCT LIFE : DREAM in Wonderland Flipbook + Photo card SET","Release 2020-09-29","(Expected) Date of stock 2020-10-06","USD 11.44","Sales 1,383"
"(Out Of Stock) NCT DREAM - [JAEMIN] NCT LIFE : DREAM in Wonderland Flipbook + Photo card SET","Release 2020-09-29","(Expected) Date of stock 2020-09-29","USD 11.44","Sales 3,600"
"(Out Of Stock) NCT DREAM - [JENO] NCT LIFE : DREAM in Wonderland Flipbook + Photo card SET","Release 2020-09-29","(Expected) Date of stock 2020-10-06","USD 11.44","Sales 2,000"
"(Out Of Stock) NCT DREAM - [JISUNG] NCT LIFE : DREAM in Wonderland Flipbook + Photo card SET","Release 2020-09-29","(Expected) Date of stock 2020-10-06","USD 11.44","Sales 2,500"
"(Out Of Stock) NCT DREAM - [RENJUN] NCT LIFE : DREAM in Wonderland Flipbook + Photo card SET","Release 2020-09-29","(Expected) Date of stock 2020-10-06","USD 11.44","Sales 1,700"
"GHOST9 - EP Album [PRE EPISODE 1 : DOOR]","Release 2020-09-25","(Expected) Date of stock 2020-09-24","USD 13.73 USD 17.60","Sales 56"
"TVXQ - Beyond LIVE BROCHURE [Beyond the T]","Release 2020-09-25","(Expected) Date of stock 2020-09-24","USD 21.12","Sales 542"
"[Ktown4u Event] UP10TION - Mini Album Vol.9 [Light UP] (LIGHT HUNTER Ver.)","Release 2020-09-25","(Expected) Date of stock 2020-09-24","USD 15.57 USD 19.36","Sales 620"
"[Ktown4u Event] UP10TION - Mini Album Vol.9 [Light UP] (LIGHT SPECTRUM Ver.)","Release 2020-09-25","(Expected) Date of stock 2020-09-24","USD 15.57 USD 19.36","Sales 683"
"(Out Of Stock) SUPER JUNIOR - Beyond LIVE BROCHURE SUPER JUNIOR [Beyond the SUPER SHOW]","Release 2020-09-25","(Expected) Date of stock 2020-09-24","USD 21.12","Sales 3,326"
"BDC - EP Album [THE INTERSECTION : BELIEF] (MOON ver.)","Release 2020-09-24","(Expected) Date of stock 2020-09-23","USD 15.57 USD 19.36","Sales 210"
"BDC - EP Album [THE INTERSECTION : BELIEF] (UNIVERSE ver.)","Release 2020-09-24","(Expected) Date of stock 2020-09-23","USD 15.57 USD 19.36","Sales 217"
"[SET][2CD SET] BDC - EP Album [THE INTERSECTION : BELIEF] (MOON ver. + UNIVERSE ver.)","Release 2020-09-24","(Expected) Date of stock 2020-09-23","USD 31.14 USD 38.71","Sales 28"
"[DVD] BTS - WORLD TOUR [LOVE YOURSELF : SPEAK YOURSELF] LONDON DVD (*Order can be canceled cause of early out of stock)","Release 2020-09-24","(Expected) Date of stock 2020-10-01","USD 36.95",""
"Cignature - EP Album Voi.1 [Listen and Speak]","Release 2020-09-23","(Expected) Date of stock 2020-09-22","USD 13.20 USD 16.98","Sales 126"
"Kim Ho Joong - Album Vol.1 [My Family]","Release 2020-09-23","(Expected) Date of stock 2020-09-16","USD 15.57 USD 19.36","Sales 10"
"(Out Of Stock) TXT(TOMORROW X TOGETHER) - The 2nd Photobook H:OUR (*Order can be canceled cause of early out of stock)","Release 2020-09-23","(Expected) Date of stock 2020-09-30","USD 33.43",""
"THE BOYZ - Mini Album Vol.5 [CHASE] (CHASE ver.)","Release 2020-09-22","(Expected) Date of stock 2020-09-21","USD 14.96 USD 18.56","Sales 3,645"
"THE BOYZ - Mini Album Vol.5 [CHASE] (STEALER ver.)","Release 2020-09-22","(Expected) Date of stock 2020-09-21","USD 14.96 USD 18.56","Sales 3,657"
"THE BOYZ - Mini Album Vol.5 [CHASE] (TRICK ver.)","Release 2020-09-22","(Expected) Date of stock 2020-09-21","USD 14.96 USD 18.56","Sales 3,577"
"[Ktown4u Event] EVERGLOW - Mini Album Vol.2 [-77.82X-78.29] (-77.82X Ver.)","Release 2020-09-22","(Expected) Date of stock 2020-09-21","USD 12.67 USD 16.28","Sales 670"
"[Ktown4u Event] EVERGLOW - Mini Album Vol.2 [-77.82X-78.29] (-78.29 Ver.)","Release 2020-09-22","(Expected) Date of stock 2020-09-21","USD 12.67 USD 16.28","Sales 604"
"[Ktown4u Event] TREASURE - 2nd SINGLE ALBUM [THE FIRST STEP : CHAPTER TWO] (BLACK ver.)","Release 2020-09-22","(Expected) Date of stock 2020-09-22","USD 12.06 USD 16.28","Sales 28,746"
"[Ktown4u Event] TREASURE - 2nd SINGLE ALBUM [THE FIRST STEP : CHAPTER TWO] (WHITE ver.)","Release 2020-09-22","(Expected) Date of stock 2020-09-22","USD 12.06 USD 16.28","Sales 29,371"
"[SET][3CD SET] THE BOYZ - Mini Album Vol.5 [CHASE] (CHASE ver. + STEALER ver. + TRICK ver.)","Release 2020-09-22","(Expected) Date of stock 2020-09-21","USD 44.87 USD 55.69","Sales 553"
"Fall vacation - LP Album Vol.4 [The world is a handkerchief] (Limited Edition)","Release 2020-09-18","(Expected) Date of stock 2020-10-08","USD 38.71","Sales 2"
"KNK - Mini Album Vol.3 [KNK AIRLINE] (OFF Ver.)","Release 2020-09-18","(Expected) Date of stock 2020-09-17","USD 14.34 USD 17.60","Sales 159"
"KNK - Mini Album Vol.3 [KNK AIRLINE] (ON Ver.)","Release 2020-09-18","(Expected) Date of stock 2020-09-17","USD 14.34 USD 17.60","Sales 164"
"The BLANK Shop - Album Vol.1 [Tailor]","Release 2020-09-18","(Expected) Date of stock 2020-09-17","USD 12.93 USD 16.28","Sales 2"
"NCT 127 - Beyond LIVE BROCHURE NCT 127 [Beyond the Origin]","Release 2020-09-18","(Expected) Date of stock 2020-09-18","USD 21.12","Sales 9,450"
"NCT DREAM - Beyond LIVE BROCHURE NCT DREAM [Beyond the Dream Show]","Release 2020-09-18","(Expected) Date of stock 2020-09-18","USD 21.12","Sales 11,966"
"(Out Of Stock) WayV - PHOTO STORY BOOK [Bad Alive]","Release 2020-09-18","(Expected) Date of stock 2020-09-18","USD 22.87","Sales 4,000"
"fromis_9 - mini Aibum Vol.3 [My Little Society] (My account ver.) (first press)","Release 2020-09-17","(Expected) Date of stock 2020-09-16","USD 13.81 USD 17.60","Sales 2,355"
"fromis_9 - mini Aibum Vol.3 [My Little Society] (My society ver.) (first press)","Release 2020-09-17","(Expected) Date of stock 2020-09-16","USD 13.81 USD 17.60","Sales 2,359"
"fromis_9 - Mini Album Vol.3 [My Little Society] (Kit Album)","Release 2020-09-17","(Expected) Date of stock 2020-09-16","USD 18.39 USD 23.75","Sales 935"
"[SET][2CD SET] fromis_9 - Mini Album Vol.3 [My Little Society] (My society Ver. + My account Ver.)","Release 2020-09-17","(Expected) Date of stock 2020-09-16","USD 27.62 USD 35.19","Sales 317"
"[SET][2CD SET] KNK - Mini Album [KNK AIRLINE] (ON Ver + OFF Ver.)","Release 2020-09-17","(Expected) Date of stock 2020-09-17","USD 28.68 USD 35.19","Sales 42"
"(Out Of Stock) [Blu-Ray] BTS - BTS MEMORIES OF 2019 Blu-Ray *Pre-order benefit gift (*Order can be canceled cause of early out of stock)","Release 2020-09-17","(Expected) Date of stock 2020-09-24","USD 81.81",""
"B.O.Y - Album [Phase Two : WE] (Harmony Ver.)","Release 2020-09-16","(Expected) Date of stock 2020-09-15","USD 13.20 USD 16.98","Sales 847"
